"row.names","date","mktrf","smb","hml","rf","year","month","umd","dateff"
"163",1940-01-01,-0.0241,0.0024,-0.0077,0.0,1940.0,1.0,0.0174,1940-01-31
"164",1940-02-01,0.0144,0.0251,-0.0032,0.0,1940.0,2.0,0.0181,1940-02-29
"165",1940-03-01,0.0205,0.0125,-0.0127,0.0,1940.0,3.0,-0.0036,1940-03-30
"166",1940-04-01,0.0022,0.0392,-0.0013,0.0,1940.0,4.0,0.0333,1940-04-30
"167",1940-05-01,-0.2195,-0.0666,-0.0369,-0.0002,1940.0,5.0,0.0286,1940-05-31
"168",1940-06-01,0.0667,-0.0213,0.0463,0.0,1940.0,6.0,-0.0214,1940-06-29
"169",1940-07-01,0.0316,0.0101,-0.0074,0.0001,1940.0,7.0,0.0085,1940-07-31
"170",1940-08-01,0.0219,-0.0011,0.0056,-0.0001,1940.0,8.0,-0.0161,1940-08-31
"171",1940-09-01,0.0239,0.0322,-0.0113,0.0,1940.0,9.0,-0.0026,1940-09-30
"172",1940-10-01,0.0302,0.0028,0.0464,0.0,1940.0,10.0,-0.0653,1940-10-31
"173",1940-11-01,-0.0161,0.0194,0.0012,0.0,1940.0,11.0,0.0133,1940-11-30
"174",1940-12-01,0.0069,-0.0215,-0.0089,0.0,1940.0,12.0,0.0346,1940-12-31
"175",1941-01-01,-0.0417,0.01,0.0383,-0.0001,1941.0,1.0,-0.0472,1941-01-31
"176",1941-02-01,-0.0143,-0.0157,0.0089,-0.0001,1941.0,2.0,0.0091,1941-02-28
"177",1941-03-01,0.0084,0.001,0.0304,0.0001,1941.0,3.0,0.0243,1941-03-31
"178",1941-04-01,-0.0546,-0.0169,0.0341,-0.0001,1941.0,4.0,0.0303,1941-04-30
"179",1941-05-01,0.0139,-0.0066,0.006,0.0,1941.0,5.0,0.0246,1941-05-31
"180",1941-06-01,0.0583,0.0132,0.0059,0.0,1941.0,6.0,-0.0064,1941-06-30
"181",1941-07-01,0.0587,0.057,0.0725,0.0003,1941.0,7.0,-0.0175,1941-07-31
"182",1941-08-01,-0.0017,-0.0041,-0.011,0.0001,1941.0,8.0,0.0017,1941-08-30
"183",1941-09-01,-0.0087,-0.0099,-0.0028,0.0001,1941.0,9.0,-0.0157,1941-09-30
"184",1941-10-01,-0.0525,-0.0202,0.0163,0.0,1941.0,10.0,0.0474,1941-10-31
"185",1941-11-01,-0.0192,-0.0121,-0.0064,0.0,1941.0,11.0,0.0404,1941-11-29
"186",1941-12-01,-0.0487,-0.0298,-0.0594,0.0001,1941.0,12.0,0.0028,1941-12-31
"187",1942-01-01,0.0079,0.0752,0.101,0.0002,1942.0,1.0,-0.0358,1942-01-31
"188",1942-02-01,-0.0246,0.0172,-0.0113,0.0001,1942.0,2.0,-0.0071,1942-02-28
"189",1942-03-01,-0.0658,0.0178,-0.0062,0.0001,1942.0,3.0,-0.0021,1942-03-31
"190",1942-04-01,-0.0437,-0.006,0.0209,0.0001,1942.0,4.0,-0.0079,1942-04-30
"191",1942-05-01,0.0594,-0.0305,-0.0265,0.0003,1942.0,5.0,-0.0471,1942-05-29
"192",1942-06-01,0.0269,-0.0122,0.0054,0.0002,1942.0,6.0,-0.0132,1942-06-30
"193",1942-07-01,0.0351,-0.0016,0.024,0.0003,1942.0,7.0,0.0077,1942-07-31
"194",1942-08-01,0.018,-0.0009,0.0133,0.0003,1942.0,8.0,-0.0013,1942-08-31
"195",1942-09-01,0.0261,0.0066,0.0239,0.0003,1942.0,9.0,-0.0064,1942-09-30
"196",1942-10-01,0.0682,0.0182,0.0647,0.0003,1942.0,10.0,-0.0401,1942-10-31
